CuisineType,RestaurantAddress,RestaurantName
"           Salad, Asian, Continental, Healthy Food, Indian, North Indian, South Indian         ","MG Road, Gurgaon",             eat.fit           
"           North Indian, Chinese, Continental, Italian         ","Connaught Place, New Delhi",             Ardor 2.1           
"           Finger Food, American, Indian, European, Asian         ","Connaught Place, New Delhi",             Detroit           
"           North Indian, Biryani, Thai         ","Sector 29, Gurgaon",             Friction The Drinkery           
"           North Indian, Continental         ","Connaught Place, New Delhi",             Local           
"           European, South American, Peruvian         ","Sangam Courtyard, RK Puram, New Delhi",             Nueva           
"           Italian, Pizza         ","Laxmi Nagar, New Delhi",             Play Pizza           
"           Bakery, Desserts         ","New Friends Colony, New Delhi",             Zoet Desserts           
"           Continental, North Indian, American, Italian, Mexican         ","Karol Bagh, New Delhi",             The Feast House           
"           North Indian, Mughlai, Kebab         ","Pandara Road Market, New Delhi",             Havemore           
           Biryani         ,"NIT, Faridabad",             ABC Biryani Wala           
"           North Indian, Mughlai, Kebab         ","Green Park, New Delhi",             Zabardast Zaffran           
"           North Indian, Continental, Chinese         ","DLF Phase 4, Gurgaon",             India Kitchen           
"           Continental, Mexican, North Indian         ","Rajouri Garden, New Delhi",             Duty Free           
           Fast Food         ,"Central Market, Lajpat Nagar 2, New Delhi",             Dolma Aunty Momos           
"           Continental, North Indian, Chinese, Italian         ","Sector 29, Gurgaon",             Big Boyz Lounge Air Bar           
"           Chinese, Vietnamese, Thai, Indonesian, Sushi         ","South City 2, Gurgaon",             Live Wok           
"           Asian, Burmese         ","DLF Mall of India, Sector 18,  Noida, Noida",             Burma Burma           
"           Salad, Asian, Chinese, Continental, Healthy Food, Indian, Italian         ","MG Road, Gurgaon",             Me-Bo: Meal in a Bowl           
"           Chinese, Continental, European, North Indian, Goan, Desserts         ","Gardens Galleria, Sector 38 Noida, Noida",             Tito's           
"           North Indian, Chinese, Continental         ","Sector 54, Gurgaon",             The Forestta           
           North Indian         ,"Karol Bagh, New Delhi",             Tera Hotel           
"           North Indian, Chinese         ","Sector 62, Noida",             Curryhut           
"           North Indian, Mughlai         ","Connaught Place, New Delhi",             The G.T. Road           
"           North Indian, Chinese, Continental         ","Gujranwala Town, New Delhi",             Railway Yard           
"           Fast Food, South Indian         ","Lawrence Road, New Delhi",             Rahul Eggs           
"           Cafe, North Indian, Street Food         ","Chhatarpur, New Delhi",             LCF Cafe           
"           North Indian, Chinese         ","Janakpuri, New Delhi",             Punjabi Angithi           
"           North Indian, Chinese, Asian, BBQ, Desserts, Finger Food, Indian, Kebab         ","Sector 31, Gurgaon",             Dilli 6 On Wheels           
"           Burger, Healthy Food, Salad, Continental, Sandwich, Pizza, Seafood         ","Sector 12, Dwarka, New Delhi",             The Fitness Kitchen           
